Date,Open,High,Low,Close,Adj Close,Volume
2005-05-11,9.065450,9.139960,8.941270,8.941270,7.025079,96631
2005-05-12,8.941270,8.941270,8.941270,8.941270,7.025079,8053
2005-05-13,9.189640,9.189640,9.189640,9.189640,7.220221,16105
2005-05-16,9.189640,9.189640,9.189640,9.189640,7.220221,8053
2005-05-17,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-05-18,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-05-19,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-05-20,9.189640,9.189640,9.189640,9.189640,7.220221,72473
2005-05-23,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-05-24,9.438000,9.438000,9.438000,9.438000,7.415362,24158
2005-05-25,9.438000,9.438000,9.438000,9.438000,7.415362,0
2005-05-27,9.438000,9.438000,9.438000,9.438000,7.415362,0
2005-05-30,9.438000,9.438000,9.438000,9.438000,7.415362,0
2005-05-31,9.438000,9.438000,9.438000,9.438000,7.415362,0
2005-06-01,9.438000,9.438000,9.438000,9.438000,7.415362,0
2005-06-02,9.189640,9.438000,9.189640,9.438000,7.415362,177156
2005-06-03,9.562190,9.562190,9.562190,9.562190,7.512931,8053
2005-06-06,9.562190,9.562190,9.562190,9.562190,7.512931,0
2005-06-07,9.562190,9.562190,9.562190,9.562190,7.512931,0
2005-06-08,9.562190,9.562190,9.562190,9.562190,7.512931,0
2005-06-09,9.562190,9.562190,9.562190,9.562190,7.512931,8053
2005-06-10,9.562190,9.562190,9.562190,9.562190,7.512931,0
2005-06-13,9.562190,9.562190,9.562190,9.562190,7.512931,15791051
2005-06-14,9.438000,9.438000,9.438000,9.438000,7.415362,8053
2005-06-15,9.438000,9.438000,9.438000,9.438000,7.415362,8053
2005-06-16,8.941270,8.941270,8.941270,8.941270,7.025079,24158
2005-06-17,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-06-20,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-06-21,9.015780,9.015780,9.015780,9.015780,7.083630,8053
2005-06-22,9.015780,9.015780,9.015780,9.015780,7.083630,0
2005-06-23,8.841920,8.841920,8.817080,8.817080,6.927507,144946
2005-06-24,8.817080,8.817080,8.817080,8.817080,6.927507,0
2005-06-27,8.817080,8.817080,8.817080,8.817080,6.927507,0
2005-06-28,8.941270,8.941270,8.941270,8.941270,7.025079,24158
2005-06-29,8.941270,8.941270,8.941270,8.941270,7.025079,16105
2005-06-30,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-07-01,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-07-04,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-07-05,8.941270,8.941270,8.941270,8.941270,7.025079,0
2005-07-06,8.817080,9.015780,8.817080,9.015780,7.083630,104683
2005-07-07,9.189640,9.189640,9.189640,9.189640,7.220221,8053
2005-07-08,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-07-11,9.189640,9.189640,9.189640,9.189640,7.220221,8053
2005-07-12,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-07-13,9.189640,9.189640,9.189640,9.189640,7.220221,56368
2005-07-14,9.313820,9.313820,9.189640,9.189640,7.220221,16105
2005-07-15,9.189640,9.189640,9.189640,9.189640,7.220221,8053
2005-07-18,9.189640,9.189640,9.189640,9.189640,7.220221,0
2005-07-19,9.065450,9.065450,9.065450,9.065450,7.122649,8053
2005-07-20,9.065450,9.065450,9.065450,9.065450,7.122649,0
2005-07-21,9.065450,9.065450,9.065450,9.065450,7.122649,0
2005-07-22,9.065450,9.065450,9.065450,9.065450,7.122649,0
2005-07-25,9.065450,9.065450,9.065450,9.065450,7.122649,0
2005-07-26,9.065450,9.065450,9.065450,9.065450,7.122649,0
2005-07-27,8.941270,9.065450,8.941270,9.065450,7.122649,144946
2005-07-28,9.065450,9.189640,9.065450,9.189640,7.220221,64420
2005-07-29,9.313820,9.313820,9.189640,9.189640,7.220221,64420
2005-08-01,9.189640,9.438000,9.189640,9.438000,7.415362,80526
2005-08-02,9.562190,9.686370,9.562190,9.686370,7.610502,48315
2005-08-03,9.686370,9.810560,9.686370,9.810560,7.708078,24158
